Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,16.751269,0,,,,,,
74,16.86626,11.554699,2.787259,1.019628,0.718038,1.006865,0.480597,2e-06
75,17.392623,11.605993,2.821696,0.982741,0.606864,1.038287,0.524438,0.0
76,17.348421,11.567413,2.794633,1.005941,0.617027,1.035648,0.553915,0.0
77,16.935372,11.583463,2.809707,1.033554,0.710279,1.01099,0.519915,0.0
78,17.344467,11.698867,2.782431,1.100012,0.739363,1.035412,0.527138,0.0
79,17.059627,11.61145,2.681328,1.009199,0.714486,1.018408,0.532441,0.0
80,17.235335,11.699093,2.791353,1.131176,0.740424,1.028897,0.610187,0.0
81,17.342841,11.632943,2.740697,1.126786,0.733525,1.035315,0.514251,0.0
82,16.98551,11.710807,2.715822,1.162255,0.766864,1.013983,0.401929,9.5e-05
83,17.566063,11.614103,2.734459,0.971882,0.710453,1.048641,0.527714,0.0
84,17.018623,11.579127,2.738228,0.932916,0.685307,1.01596,0.480438,2e-06
85,17.065687,11.560321,2.824177,0.996383,0.604292,1.01877,0.455066,7e-06
86,16.808922,11.578509,2.776086,0.942169,0.575191,1.003442,0.474567,3e-06
87,17.056744,11.645394,2.771805,1.030334,0.62307,1.018236,0.47484,3e-06
88,17.034602,11.562292,2.791605,0.89481,0.563037,1.016914,0.465843,4e-06
89,17.306932,11.61182,2.799742,1.039468,0.573886,1.033171,0.464068,5e-06
90,17.342274,11.570771,2.777281,1.03167,0.628734,1.035281,0.501938,1e-06
91,17.011658,11.641433,2.867622,1.001698,0.6572,1.015544,0.523218,0.0
92,17.350611,11.603823,2.731983,1.043508,0.713425,1.035779,0.568505,0.0
93,17.00545,11.599072,2.716069,1.068737,0.737307,1.015174,0.4531,8e-06
94,17.141619,11.627419,2.846707,1.024043,0.731177,1.023303,0.564058,0.0
95,17.719357,11.67039,2.683147,1.141906,0.767005,1.057792,0.465166,4e-06
96,17.150073,11.620333,2.709131,1.119915,0.760731,1.023807,0.480801,2e-06
97,17.244211,11.720317,2.741548,1.096424,0.749395,1.029427,0.505933,0.0
98,17.075053,11.656539,2.888963,1.026549,0.749424,1.019329,0.473552,3e-06
99,17.249141,11.701641,2.786004,1.056507,0.634101,1.029721,0.503269,0.0
100,17.167535,11.664899,2.772617,1.035261,0.715667,1.02485,0.544699,0.0
101,17.134106,11.691706,2.831861,1.096682,0.741042,1.022854,0.489729,1e-06
102,16.898116,11.571618,2.791304,1.020846,0.678802,1.008766,0.518782,0.0
103,17.077128,11.70179,2.884887,1.085474,0.677244,1.019453,0.530192,0.0
104,17.552123,11.658168,2.912616,1.106128,0.696565,1.047809,0.53498,0.0
105,16.969035,11.60117,2.870455,0.93344,0.571406,1.013,0.386536,0.000183
106,17.930636,11.66926,2.876292,1.070282,0.645512,1.070405,0.545049,0.0
107,17.167693,11.624449,2.880478,1.040814,0.634032,1.024859,0.546953,0.0
108,17.201471,11.607861,2.863787,1.014597,0.630053,1.026876,0.478949,2e-06
109,17.115698,11.603599,2.822965,1.0215,0.65357,1.021755,0.521262,0.0
110,17.610373,11.725791,2.784039,1.11753,0.663031,1.051286,0.465028,4e-06
111,17.082307,11.649911,2.800461,0.898781,0.483781,1.019762,0.458703,6e-06
112,16.936655,11.624176,2.890097,0.951584,0.492084,1.011067,0.53027,0.0
113,16.735245,11.598442,2.80472,0.878454,0.557417,0.999043,0.491128,1e-06
114,17.120212,11.605222,2.843958,0.875105,0.56234,1.022025,0.443362,1.4e-05
115,16.926666,11.654583,2.74752,0.868362,0.512385,1.010471,0.461724,5e-06
116,16.723513,11.565347,2.776256,0.881,0.559453,0.998343,0.487023,1e-06
117,16.828515,11.670686,2.703909,1.094163,0.629383,1.004611,0.528784,0.0
118,17.244848,11.669416,2.809468,1.1654,0.749365,1.029465,0.457182,7e-06
119,16.637922,11.561895,2.744966,0.920677,0.499508,0.993233,0.539,0.0
120,17.067009,11.587666,2.829974,1.024236,0.727851,1.018849,0.523069,0.0
121,17.018667,11.624602,2.809271,0.947298,0.738401,1.015963,0.484828,1e-06
122,17.237096,11.633468,2.837988,0.950241,0.699639,1.029002,0.457366,7e-06
123,16.967089,11.680274,2.79106,1.044784,0.668651,1.012884,0.318571,0.002345
124,17.084279,11.562971,2.718594,0.995931,0.63431,1.01988,0.417764,4.6e-05
125,17.401993,11.573235,2.781641,0.990905,0.593958,1.038846,0.495795,1e-06
126,17.627117,11.61543,2.77151,1.120038,0.740235,1.052285,0.478022,2e-06
127,17.407529,11.640741,2.879273,1.072784,0.682816,1.039177,0.398465,0.00011
128,17.125009,11.622814,2.728536,0.997747,0.642696,1.022311,0.359758,0.000535
129,17.092884,11.676922,2.772617,0.986628,0.720545,1.020393,0.372844,0.00032
130,17.292456,11.705273,2.849956,1.081429,0.762625,1.032307,0.48069,2e-06
131,16.816057,11.692729,2.819113,1.050039,0.713436,1.003868,0.478422,2e-06
132,17.107968,11.684155,2.811695,1.001618,0.745537,1.021294,0.452811,8e-06
133,17.271259,11.710769,2.85399,1.124823,0.66743,1.031042,0.469515,3e-06
134,17.23008,11.671185,2.79097,0.994136,0.631982,1.028584,0.437711,1.8e-05
135,17.264778,11.691897,2.813529,1.022266,0.668968,1.030655,0.41808,4.6e-05
136,17.355274,11.689034,2.836724,1.047555,0.768493,1.036057,0.344588,0.000944
137,17.067271,11.645572,2.710577,1.156922,0.741721,1.018864,0.359423,0.000542
138,17.581044,11.68685,2.742663,1.164996,0.881744,1.049535,0.388255,0.00017
139,17.050578,11.623992,2.690274,1.093996,0.796422,1.017868,0.385183,0.000194
140,16.698476,11.623031,2.732829,0.830483,0.597175,0.996848,0.370244,0.000355
141,17.439227,11.712915,2.817625,1.141949,0.827408,1.041069,0.48086,2e-06
142,16.904831,11.625128,2.744528,0.945588,0.704505,1.009167,0.33699,0.001241
143,17.15225,11.720932,2.83791,1.059065,0.749589,1.023937,0.456485,7e-06
144,17.238971,11.713785,2.787568,0.987966,0.750847,1.029114,0.399398,0.000106
145,17.255569,11.73648,2.82481,1.093423,0.750443,1.030105,0.432634,2.3e-05
146,17.374825,11.682355,2.841514,0.94693,0.655485,1.037224,0.440619,1.6e-05
147,17.085721,11.737098,2.720849,1.155043,0.746286,1.019966,0.355775,0.000623
148,16.88644,11.655949,2.775811,1.059959,0.774177,1.008069,0.433821,2.2e-05
149,17.350724,11.673988,2.812445,0.889325,0.681609,1.035786,0.475523,2e-06
150,17.225845,11.702128,2.782047,1.009391,0.736445,1.028331,0.406388,7.8e-05
151,17.417045,11.689207,2.789129,1.033572,0.684892,1.039745,0.443698,1.3e-05
152,17.00701,11.694835,2.801944,1.098437,0.700295,1.015267,0.392393,0.000143
153,17.034418,11.633642,2.786252,1.072246,0.663828,1.016903,0.446635,1.1e-05
154,17.576312,11.718807,2.755914,1.225331,0.813283,1.049253,0.484938,1e-06
155,16.764924,11.627805,2.768601,0.970177,0.586698,1.000815,0.449413,1e-05
156,16.937756,11.71858,2.797542,1.104698,0.626496,1.011133,0.537918,0.0
157,16.996147,11.612685,2.73668,1.016205,0.69717,1.014618,0.448388,1.1e-05
158,16.797975,11.655237,2.727134,0.989312,0.687379,1.002788,0.524934,0.0
159,16.872513,11.716852,2.762546,1.036694,0.707798,1.007238,0.417541,4.7e-05
160,17.271974,11.798134,2.915407,1.121533,0.827264,1.031084,0.478697,2e-06
161,16.697058,11.575116,2.810546,1.073623,0.687855,0.996764,0.377594,0.000264
162,16.891165,11.694489,2.708432,1.061085,0.708742,1.008351,0.467905,4e-06
163,17.185951,11.60179,2.70195,1.062013,0.759287,1.025949,0.467089,4e-06
164,16.857264,11.705302,2.691249,1.063641,0.652626,1.006328,0.500052,1e-06
165,17.42086,11.761384,2.773419,1.140793,0.713941,1.039973,0.449168,1e-05
166,17.01184,11.699197,2.771512,1.172425,0.65711,1.015555,0.565203,0.0
167,16.676749,11.640137,2.725951,1.078502,0.565625,0.995551,0.556131,0.0
168,17.206446,11.635676,2.73704,1.058496,0.79143,1.027173,0.519818,0.0
169,16.86679,11.698395,2.75847,1.106654,0.727311,1.006896,0.523209,0.0
170,16.938843,11.681044,2.715006,1.182726,0.80196,1.011198,0.389553,0.000161
171,17.267971,11.665147,2.741422,1.113991,0.687583,1.030845,0.416006,5e-05
172,17.251824,11.665916,2.731077,1.092558,0.677912,1.029882,0.443684,1.3e-05
173,17.355173,11.591334,2.665381,1.280706,0.73935,1.036051,0.480612,2e-06
174,16.844091,11.676116,2.739245,1.175071,0.657424,1.005541,0.522117,0.0
175,17.227697,11.69657,2.758224,1.118681,0.673026,1.028441,0.509491,0.0
176,17.275496,11.608997,2.815203,1.037094,0.624971,1.031295,0.540498,0.0
177,17.4148,11.649997,2.807522,0.900863,0.579583,1.039611,0.484799,1e-06
178,17.268711,11.715682,2.794997,0.994343,0.633589,1.03089,0.449926,1e-05
179,17.324958,11.644731,2.791598,1.172773,0.706774,1.034247,0.528518,0.0
180,17.593646,11.742339,2.79991,1.087714,0.665566,1.050287,0.497416,1e-06
181,17.071087,11.732923,2.766156,0.960848,0.605442,1.019092,0.439329,1.7e-05
