Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,16.7513,0,,,,,,
0,16.7513,11.4172,2.693,0.0,0.0,1.0,1.0,0.0
1,17.4191,11.601,2.7938,0.8579,0.6072,1.0399,0.3753,0.0003
2,17.4054,11.7964,2.8676,1.0153,0.6291,1.039,0.483,0.0
3,17.365,11.6649,2.7617,1.0174,0.5723,1.0366,0.5389,0.0
4,17.1964,11.5817,2.7911,1.0027,0.5208,1.0266,0.5894,0.0
5,16.9896,11.6027,2.7999,0.9789,0.6334,1.0142,0.4644,0.0
6,17.076,11.6216,2.7871,1.1022,0.7016,1.0194,0.6171,0.0
7,17.1714,11.6069,2.7692,0.9974,0.6966,1.0251,0.4468,0.0
8,17.2353,11.6991,2.7914,1.1312,0.7404,1.0289,0.6102,0.0
9,17.3423,11.5708,2.7773,1.0317,0.6287,1.0353,0.5019,0.0
10,17.1675,11.6649,2.7726,1.0353,0.7157,1.0248,0.5447,0.0
11,17.6104,11.7258,2.784,1.1175,0.663,1.0513,0.465,0.0
12,17.067,11.5877,2.83,1.0242,0.7279,1.0188,0.5231,0.0
13,17.2925,11.7053,2.85,1.0814,0.7626,1.0323,0.4807,0.0
14,16.6985,11.623,2.7328,0.8305,0.5972,0.9968,0.3702,0.0004
15,17.2258,11.7021,2.782,1.0094,0.7364,1.0283,0.4064,0.0001
16,17.272,11.7981,2.9154,1.1215,0.8273,1.0311,0.4787,0.0
17,16.9388,11.681,2.715,1.1827,0.802,1.0112,0.3896,0.0002
18,17.5936,11.7423,2.7999,1.0877,0.6656,1.0503,0.4974,0.0
19,17.5375,11.7081,2.762,1.0553,0.7379,1.0469,0.4468,0.0
20,16.6778,11.6448,2.7065,0.9837,0.6633,0.9956,0.4312,0.0
21,17.189,11.6206,2.7175,1.1309,0.6684,1.0261,0.5119,0.0
22,17.1117,11.6837,2.7051,0.9127,0.669,1.0215,0.3776,0.0003
23,17.1088,11.6553,2.6809,1.1049,0.7326,1.0213,0.495,0.0
24,16.994,11.6703,2.7349,0.9002,0.6361,1.0145,0.4604,0.0
