Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.447989,0,,,,,,
74,17.597402,11.593728,3.148571,1.25077,0.948508,1.008563,0.504052,0.0
75,17.724578,11.66572,3.190235,1.182102,0.845798,1.015852,0.493639,1e-06
76,17.485708,11.630563,3.157787,1.278979,0.883812,1.002162,0.547065,0.0
77,17.779176,11.626015,3.186184,1.29496,0.902439,1.018981,0.537494,0.0
78,18.183211,11.725044,3.195939,1.313764,0.941155,1.042138,0.536728,0.0
79,17.864532,11.656077,3.115844,1.25247,0.928482,1.023873,0.503401,0.0
80,17.726156,11.714585,3.166559,1.380603,0.98753,1.015943,0.560309,0.0
81,17.688249,11.686161,3.14171,1.370234,0.973022,1.01377,0.497756,1e-06
82,17.710202,11.754917,3.114122,1.388161,0.968412,1.015028,0.400554,0.0001
83,17.758415,11.659457,3.173641,1.221123,0.949134,1.017791,0.494011,1e-06
84,17.789838,11.634879,3.141518,1.203458,0.878553,1.019592,0.458669,6e-06
85,17.85733,11.632988,3.173301,1.198631,0.807398,1.023461,0.458267,6e-06
86,17.568388,11.62365,3.152948,1.149512,0.781188,1.0069,0.486956,1e-06
87,17.45752,11.673906,3.136749,1.248409,0.858913,1.000546,0.48337,2e-06
88,17.74174,11.618613,3.172679,1.12568,0.809936,1.016836,0.423204,3.6e-05
89,17.608154,11.666931,3.167687,1.229816,0.800622,1.00918,0.427387,3e-05
90,17.632441,11.625195,3.171214,1.244714,0.858494,1.010572,0.465105,4e-06
91,17.729845,11.695819,3.235585,1.244469,0.852895,1.016154,0.520835,0.0
92,18.127493,11.630416,3.149016,1.258426,0.916824,1.038945,0.524033,0.0
93,17.658446,11.645003,3.118593,1.28719,0.954238,1.012062,0.396384,0.00012
94,17.908657,11.682151,3.22837,1.266694,0.933622,1.026402,0.528,0.0
95,18.510235,11.7287,3.148414,1.367053,0.964425,1.060881,0.465931,4e-06
96,17.99382,11.686506,3.157602,1.36942,0.994258,1.031283,0.464351,5e-06
97,17.865034,11.771907,3.150393,1.291934,0.905715,1.023902,0.511329,0.0
98,17.884701,11.738467,3.226749,1.289633,0.917834,1.025029,0.486719,1e-06
99,17.450459,11.765134,3.163061,1.283006,0.831446,1.000142,0.502254,1e-06
100,18.011474,11.729464,3.1757,1.252536,0.873298,1.032295,0.520884,0.0
101,17.95308,11.74279,3.205646,1.311565,0.880896,1.028948,0.485885,1e-06
102,17.65357,11.630943,3.178106,1.236244,0.841399,1.011782,0.534312,0.0
103,17.47721,11.750314,3.217446,1.323449,0.86948,1.001675,0.525704,0.0
104,17.562027,11.683711,3.225757,1.313502,0.81173,1.006536,0.492962,1e-06
105,17.667833,11.654037,3.194964,1.154137,0.714069,1.0126,0.421216,3.9e-05
106,17.798365,11.730871,3.216448,1.314593,0.781166,1.020081,0.514023,0.0
107,17.876462,11.668472,3.21071,1.263867,0.774536,1.024557,0.524721,0.0
108,18.005387,11.659433,3.221433,1.240595,0.815883,1.031946,0.471611,3e-06
109,18.112141,11.654495,3.206079,1.258335,0.877882,1.038065,0.513512,0.0
110,17.651405,11.775447,3.181271,1.317674,0.789594,1.011658,0.449382,1e-05
111,17.319517,11.711668,3.195493,1.159334,0.751393,0.992637,0.504467,0.0
112,17.693756,11.676754,3.219977,1.228679,0.76485,1.014086,0.492436,1e-06
113,18.151238,11.668968,3.197968,1.119416,0.816332,1.040305,0.498041,1e-06
114,17.807259,11.664933,3.195389,1.103355,0.779443,1.020591,0.512643,0.0
115,17.666642,11.696804,3.15276,1.112772,0.715454,1.012532,0.47112,3e-06
116,17.677038,11.610203,3.147106,1.15338,0.730633,1.013128,0.536623,0.0
117,17.876078,11.761265,3.136643,1.288681,0.839922,1.024535,0.525399,0.0
118,18.039781,11.735651,3.247269,1.381033,0.877359,1.033918,0.479344,2e-06
119,17.606013,11.638966,3.176124,1.159471,0.710335,1.009057,0.525197,0.0
120,17.811745,11.683167,3.208715,1.246126,0.879097,1.020848,0.522286,0.0
121,18.202099,11.703162,3.204858,1.179473,0.91434,1.04322,0.494942,1e-06
122,18.161453,11.685752,3.204189,1.189585,0.876678,1.040891,0.444598,1.3e-05
123,18.211978,11.772749,3.17574,1.220001,0.827284,1.043787,0.399127,0.000107
124,17.536377,11.633073,3.12765,1.183165,0.799817,1.005066,0.416085,5e-05
125,17.659128,11.626244,3.158361,1.179055,0.772866,1.012101,0.480408,2e-06
