Conformation	|	Rayon Giration	|	RMSD	(+/- ecart-type)
	REF			|		16.7513		|	0.0
	118			|		17.1548	|	1.1576	(+/-0.6922)
	119			|		17.467	|	1.1735	(+/-0.6691)
	120			|		17.4491	|	1.207	(+/-0.7447)
	121			|		16.9899	|	1.0899	(+/-0.6255)
	122			|		17.1154	|	0.9497	(+/-0.4848)
	123			|		17.121	|	1.0663	(+/-0.6031)
	124			|		16.9431	|	1.029	(+/-0.53)
	125			|		17.1088	|	1.1993	(+/-0.7028)
	126			|		16.6137	|	0.9703	(+/-0.4642)
	127			|		17.4484	|	1.1214	(+/-0.5907)
	128			|		17.4746	|	1.2306	(+/-0.6795)
	129			|		17.7389	|	1.2826	(+/-0.7536)
	130			|		18.696	|	1.5398	(+/-1.0639)
	131			|		17.8873	|	1.3977	(+/-0.7564)
	132			|		17.9201	|	1.3004	(+/-0.7296)
	133			|		18.2711	|	1.5889	(+/-0.8074)
	134			|		17.8601	|	1.367	(+/-0.7243)
	135			|		17.8536	|	1.3523	(+/-0.7042)
	136			|		17.5336	|	1.3688	(+/-0.6867)
	137			|		18.0579	|	1.4222	(+/-0.7636)
	138			|		17.9924	|	1.58	(+/-0.6957)
	139			|		17.7529	|	1.3433	(+/-0.6829)
	140			|		18.5469	|	1.6779	(+/-0.968)
	141			|		18.158	|	1.3127	(+/-0.7298)
	142			|		18.2441	|	1.5005	(+/-0.7534)
	143			|		18.4609	|	1.4974	(+/-0.7681)
	144			|		18.018	|	1.5139	(+/-0.8801)
	145			|		17.5862	|	1.4147	(+/-0.6411)
	146			|		17.4466	|	1.338	(+/-0.6179)
	147			|		18.055	|	1.2713	(+/-0.6285)
	148			|		17.9154	|	1.4606	(+/-0.6659)
	149			|		17.5817	|	1.3728	(+/-0.6773)
	150			|		17.7489	|	1.3949	(+/-0.6353)
	151			|		18.1673	|	1.727	(+/-0.8558)
	152			|		17.5449	|	1.2896	(+/-0.6155)
	153			|		18.0272	|	1.3842	(+/-0.6649)
	154			|		17.6466	|	1.4798	(+/-0.6893)
	155			|		17.7878	|	1.231	(+/-0.5918)
	156			|		17.7707	|	1.2567	(+/-0.6725)
	157			|		18.3938	|	1.4037	(+/-0.7658)
