Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
500	|	17.5445		|	11.61036	(+/-3.02657)	|	1.37867	(+/-0.74128)	|	1.00553		|	0.46195	(1e-05)
501	|	17.43848		|	11.71577	(+/-3.10303)	|	1.24623	(+/-0.76043)	|	0.99946		|	0.48426	(0.0)
502	|	17.59712		|	11.63874	(+/-3.06538)	|	1.29891	(+/-0.78978)	|	1.00855		|	0.47572	(0.0)
503	|	17.94278		|	11.65768	(+/-3.12784)	|	1.26612	(+/-0.77093)	|	1.02836		|	0.46597	(0.0)
504	|	17.95264		|	11.66244	(+/-3.07457)	|	1.26286	(+/-0.79367)	|	1.02892		|	0.48333	(0.0)
505	|	17.33015		|	11.57463	(+/-3.07297)	|	1.29723	(+/-0.8423)	|	0.99325		|	0.50874	(0.0)
506	|	17.3789		|	11.64662	(+/-3.11775)	|	1.1911	(+/-0.77705)	|	0.99604		|	0.52144	(0.0)
507	|	17.63193		|	11.61425	(+/-3.04263)	|	1.32575	(+/-0.76152)	|	1.01054		|	0.40362	(9e-05)
508	|	17.8033		|	11.67619	(+/-3.05753)	|	1.25896	(+/-0.76495)	|	1.02036		|	0.43143	(2e-05)
509	|	17.81571		|	11.65234	(+/-3.058)	|	1.30339	(+/-0.69718)	|	1.02108		|	0.44589	(1e-05)
510	|	18.02928		|	11.55593	(+/-3.07246)	|	1.20703	(+/-0.72332)	|	1.03332		|	0.48612	(0.0)
511	|	17.71168		|	11.57099	(+/-3.06123)	|	1.38488	(+/-0.7694)	|	1.01511		|	0.47855	(0.0)
512	|	17.78732		|	11.53892	(+/-3.12317)	|	1.28521	(+/-0.73352)	|	1.01945		|	0.52435	(0.0)
513	|	17.56772		|	11.61173	(+/-3.06578)	|	1.24557	(+/-0.74472)	|	1.00686		|	0.53231	(0.0)
514	|	17.54399		|	11.60953	(+/-3.12133)	|	1.35089	(+/-0.791)	|	1.0055		|	0.54539	(0.0)
515	|	17.90735		|	11.60434	(+/-3.10081)	|	1.31262	(+/-0.79062)	|	1.02633		|	0.54337	(0.0)
516	|	17.4865		|	11.60556	(+/-3.12919)	|	1.20281	(+/-0.73501)	|	1.00221		|	0.48525	(0.0)
517	|	17.5027		|	11.67943	(+/-3.08452)	|	1.26458	(+/-0.71613)	|	1.00314		|	0.51627	(0.0)
518	|	17.90689		|	11.64528	(+/-3.11312)	|	1.35815	(+/-0.69447)	|	1.0263		|	0.53307	(0.0)
519	|	17.4455		|	11.69753	(+/-3.12076)	|	1.30851	(+/-0.72172)	|	0.99986		|	0.49756	(0.0)
520	|	17.83291		|	11.60122	(+/-3.09641)	|	1.24614	(+/-0.79035)	|	1.02206		|	0.46931	(0.0)
521	|	18.27967		|	11.66061	(+/-3.07722)	|	1.334	(+/-0.74709)	|	1.04767		|	0.31146	(0.00297)
522	|	17.46992		|	11.54538	(+/-3.09368)	|	1.33954	(+/-0.71796)	|	1.00126		|	0.41326	(6e-05)
523	|	17.72877		|	11.62318	(+/-3.13031)	|	1.48258	(+/-0.9164)	|	1.01609		|	0.55305	(0.0)
524	|	18.08892		|	11.7036	(+/-3.22667)	|	1.40708	(+/-0.83096)	|	1.03673		|	0.4744	(0.0)
525	|	17.46655		|	11.59987	(+/-3.14027)	|	1.32842	(+/-0.78346)	|	1.00106		|	0.38474	(0.0002)
526	|	17.9024		|	11.71018	(+/-3.1691)	|	1.41018	(+/-0.82484)	|	1.02604		|	0.48323	(0.0)
527	|	18.36006		|	11.76408	(+/-3.13329)	|	1.48419	(+/-0.78255)	|	1.05227		|	0.51632	(0.0)
528	|	17.69093		|	11.7216	(+/-3.17837)	|	1.44138	(+/-0.79976)	|	1.01392		|	0.5464	(0.0)
529	|	17.46602		|	11.73441	(+/-3.16507)	|	1.22454	(+/-0.72753)	|	1.00103		|	0.5323	(0.0)
530	|	17.75734		|	11.69461	(+/-3.18062)	|	1.2689	(+/-0.76109)	|	1.01773		|	0.50807	(0.0)
531	|	17.75696		|	11.62648	(+/-3.15965)	|	1.20794	(+/-0.79184)	|	1.01771		|	0.51308	(0.0)
532	|	17.49901		|	11.68305	(+/-3.15199)	|	1.28031	(+/-0.82279)	|	1.00292		|	0.4703	(0.0)
533	|	17.71941		|	11.69964	(+/-3.21254)	|	1.34582	(+/-0.865)	|	1.01556		|	0.55892	(0.0)
534	|	17.58101		|	11.69287	(+/-3.11971)	|	1.39328	(+/-0.82352)	|	1.00762		|	0.5066	(0.0)
535	|	17.51967		|	11.69666	(+/-3.13287)	|	1.37837	(+/-0.806)	|	1.00411		|	0.51049	(0.0)
536	|	17.65626		|	11.71496	(+/-3.14977)	|	1.22705	(+/-0.78628)	|	1.01194		|	0.46799	(0.0)
537	|	17.24626		|	11.59757	(+/-3.03863)	|	1.27604	(+/-0.65568)	|	0.98844		|	0.52801	(0.0)
538	|	17.58191		|	11.68338	(+/-3.15466)	|	1.26431	(+/-0.82)	|	1.00768		|	0.49915	(0.0)
539	|	17.45804		|	11.61354	(+/-3.12143)	|	1.28173	(+/-0.79722)	|	1.00058		|	0.55116	(0.0)
540	|	17.58447		|	11.63599	(+/-3.10571)	|	1.29848	(+/-0.75966)	|	1.00782		|	0.55248	(0.0)
541	|	17.71289		|	11.65251	(+/-3.222)	|	1.18918	(+/-0.76007)	|	1.01518		|	0.47864	(0.0)
542	|	17.91147		|	11.75402	(+/-3.1653)	|	1.29771	(+/-0.80481)	|	1.02656		|	0.48871	(0.0)
543	|	17.76354		|	11.70471	(+/-3.18143)	|	1.27821	(+/-0.78427)	|	1.01809		|	0.49636	(0.0)
544	|	17.84531		|	11.677	(+/-3.16565)	|	1.33883	(+/-0.76272)	|	1.02277		|	0.60561	(0.0)
545	|	17.31451		|	11.70047	(+/-3.10349)	|	1.33089	(+/-0.64068)	|	0.99235		|	0.49765	(0.0)
546	|	17.63951		|	11.71053	(+/-3.21112)	|	1.26261	(+/-0.75135)	|	1.01098		|	0.52192	(0.0)
547	|	17.39896		|	11.63188	(+/-3.18788)	|	1.22908	(+/-0.77352)	|	0.99719		|	0.51156	(0.0)
548	|	17.58649		|	11.68566	(+/-3.11765)	|	1.41696	(+/-0.70942)	|	1.00794		|	0.46385	(0.0)
549	|	17.5799		|	11.71472	(+/-3.16102)	|	1.39591	(+/-0.81092)	|	1.00756		|	0.55567	(0.0)
550	|	17.97161		|	11.70589	(+/-3.16294)	|	1.33119	(+/-0.78156)	|	1.03001		|	0.48321	(0.0)
551	|	17.88865		|	11.63979	(+/-3.10828)	|	1.27873	(+/-0.66582)	|	1.02526		|	0.44884	(1e-05)
552	|	17.91288		|	11.59587	(+/-3.08247)	|	1.35861	(+/-0.77563)	|	1.02664		|	0.47995	(0.0)
553	|	17.7319		|	11.58872	(+/-3.11823)	|	1.29047	(+/-0.77412)	|	1.01627		|	0.46858	(0.0)
554	|	18.05073		|	11.68924	(+/-3.08848)	|	1.2852	(+/-0.7909)	|	1.03454		|	0.33766	(0.00121)
555	|	17.55723		|	11.71271	(+/-3.05359)	|	1.39852	(+/-0.7917)	|	1.00626		|	0.4376	(2e-05)
556	|	18.31779		|	11.69633	(+/-3.13152)	|	1.37288	(+/-0.8249)	|	1.04985		|	0.52249	(0.0)
557	|	17.60203		|	11.585	(+/-3.1111)	|	1.37316	(+/-0.78826)	|	1.00883		|	0.56467	(0.0)
558	|	17.93296		|	11.64705	(+/-3.11292)	|	1.34115	(+/-0.76872)	|	1.0278		|	0.51788	(0.0)
559	|	17.96269		|	11.64733	(+/-3.06704)	|	1.25034	(+/-0.73205)	|	1.0295		|	0.51913	(0.0)
560	|	17.94033		|	11.68043	(+/-3.08571)	|	1.27906	(+/-0.70825)	|	1.02822		|	0.45165	(1e-05)
561	|	17.98477		|	11.64584	(+/-3.12876)	|	1.35207	(+/-0.81729)	|	1.03076		|	0.46346	(0.0)
562	|	18.11946		|	11.70207	(+/-3.10225)	|	1.19406	(+/-0.73164)	|	1.03848		|	0.4415	(1e-05)
563	|	18.08114		|	11.66909	(+/-3.11683)	|	1.23652	(+/-0.75319)	|	1.03629		|	0.39566	(0.00012)
564	|	17.61115		|	11.57466	(+/-3.12949)	|	1.39836	(+/-0.76858)	|	1.00935		|	0.46213	(1e-05)
565	|	17.80184		|	11.63051	(+/-3.11983)	|	1.29487	(+/-0.7708)	|	1.02028		|	0.44508	(1e-05)
566	|	17.68995		|	11.67661	(+/-3.11126)	|	1.32025	(+/-0.77657)	|	1.01387		|	0.39213	(0.00014)
567	|	17.69315		|	11.67976	(+/-3.09919)	|	1.23214	(+/-0.77586)	|	1.01405		|	0.37899	(0.00025)
568	|	17.84135		|	11.67567	(+/-3.11136)	|	1.28545	(+/-0.73749)	|	1.02254		|	0.45374	(1e-05)
569	|	18.04328		|	11.66842	(+/-3.13094)	|	1.42066	(+/-0.8239)	|	1.03412		|	0.56569	(0.0)
570	|	17.47028		|	11.64455	(+/-3.12927)	|	1.31127	(+/-0.87475)	|	1.00128		|	0.46802	(0.0)
571	|	17.63138		|	11.59315	(+/-3.02809)	|	1.33169	(+/-0.76056)	|	1.01051		|	0.42481	(3e-05)
572	|	17.63505		|	11.57247	(+/-3.07456)	|	1.33356	(+/-0.78846)	|	1.01072		|	0.52275	(0.0)
573	|	17.38453		|	11.62978	(+/-3.07252)	|	1.32007	(+/-0.78257)	|	0.99636		|	0.47946	(0.0)
574	|	17.67483		|	11.57245	(+/-3.08469)	|	1.34911	(+/-0.83317)	|	1.013		|	0.47833	(0.0)
575	|	17.93431		|	11.55024	(+/-3.09731)	|	1.27581	(+/-0.78176)	|	1.02787		|	0.52277	(0.0)
576	|	17.68273		|	11.61919	(+/-3.0811)	|	1.39217	(+/-0.80641)	|	1.01345		|	0.50158	(0.0)
577	|	17.74034		|	11.57166	(+/-3.11449)	|	1.25373	(+/-0.78186)	|	1.01676		|	0.50475	(0.0)
578	|	17.87313		|	11.53599	(+/-3.1176)	|	1.24766	(+/-0.74597)	|	1.02437		|	0.5057	(0.0)
579	|	17.98805		|	11.61824	(+/-3.07982)	|	1.28269	(+/-0.74287)	|	1.03095		|	0.4442	(1e-05)
580	|	17.8454		|	11.65432	(+/-3.14637)	|	1.28431	(+/-0.73637)	|	1.02278		|	0.54345	(0.0)
581	|	17.62159		|	11.6304	(+/-3.12732)	|	1.33407	(+/-0.80381)	|	1.00995		|	0.53205	(0.0)
582	|	17.53403		|	11.58409	(+/-3.08802)	|	1.27914	(+/-0.71344)	|	1.00493		|	0.49626	(0.0)
583	|	17.34568		|	11.65397	(+/-3.08022)	|	1.32461	(+/-0.78579)	|	0.99414		|	0.42519	(3e-05)
584	|	17.35293		|	11.60715	(+/-3.08781)	|	1.22814	(+/-0.73789)	|	0.99455		|	0.403	(9e-05)
585	|	17.84114		|	11.59688	(+/-3.11524)	|	1.36958	(+/-0.77949)	|	1.02253		|	0.44795	(1e-05)
586	|	17.22909		|	11.58289	(+/-3.05284)	|	1.25622	(+/-0.80898)	|	0.98745		|	0.47832	(0.0)
587	|	17.69551		|	11.61781	(+/-3.1238)	|	1.23109	(+/-0.76188)	|	1.01419		|	0.42328	(4e-05)
588	|	17.62315		|	11.55255	(+/-3.10108)	|	1.37614	(+/-0.84742)	|	1.01004		|	0.45605	(1e-05)
589	|	17.57707		|	11.51901	(+/-3.11554)	|	1.32155	(+/-0.80904)	|	1.0074		|	0.42445	(3e-05)
590	|	17.61062		|	11.63524	(+/-3.03831)	|	1.34604	(+/-0.74749)	|	1.00932		|	0.36047	(0.00052)
591	|	17.47637		|	11.67721	(+/-3.11009)	|	1.31955	(+/-0.76134)	|	1.00163		|	0.4728	(0.0)
592	|	17.35723		|	11.61936	(+/-3.0781)	|	1.25365	(+/-0.78325)	|	0.9948		|	0.4767	(0.0)
593	|	17.86066		|	11.70074	(+/-3.13913)	|	1.30028	(+/-0.75901)	|	1.02365		|	0.55083	(0.0)
594	|	17.46689		|	11.61317	(+/-3.10632)	|	1.29432	(+/-0.7788)	|	1.00108		|	0.46949	(0.0)
595	|	17.56287		|	11.67206	(+/-3.14863)	|	1.35468	(+/-0.84782)	|	1.00658		|	0.51696	(0.0)
596	|	18.06379		|	11.55922	(+/-3.08241)	|	1.30975	(+/-0.77582)	|	1.03529		|	0.487	(0.0)
597	|	17.81741		|	11.61901	(+/-3.11074)	|	1.41101	(+/-0.8467)	|	1.02117		|	0.49928	(0.0)
598	|	17.23125		|	11.58565	(+/-3.04955)	|	1.24824	(+/-0.71445)	|	0.98758		|	0.44621	(1e-05)
599	|	17.63749		|	11.60241	(+/-3.03793)	|	1.31536	(+/-0.76163)	|	1.01086		|	0.44519	(1e-05)
600	|	17.47509		|	11.62076	(+/-3.09463)	|	1.24187	(+/-0.78184)	|	1.00155		|	0.41207	(6e-05)
601	|	17.55227		|	11.6284	(+/-3.16022)	|	1.3254	(+/-0.8067)	|	1.00598		|	0.50576	(0.0)
602	|	17.55255		|	11.67653	(+/-3.0959)	|	1.27065	(+/-0.74647)	|	1.00599		|	0.42747	(3e-05)
603	|	17.54451		|	11.5767	(+/-3.07174)	|	1.34221	(+/-0.72976)	|	1.00553		|	0.36804	(0.00039)
604	|	18.09888		|	11.72689	(+/-3.10009)	|	1.30187	(+/-0.73245)	|	1.0373		|	0.47477	(0.0)
605	|	17.50526		|	11.69777	(+/-3.1038)	|	1.40329	(+/-0.80548)	|	1.00328		|	0.4621	(1e-05)
606	|	18.01741		|	11.6348	(+/-3.08386)	|	1.27565	(+/-0.77233)	|	1.03264		|	0.32372	(0.00197)
607	|	17.55844		|	11.62541	(+/-3.12959)	|	1.1895	(+/-0.75828)	|	1.00633		|	0.44158	(1e-05)
608	|	18.03814		|	11.74885	(+/-3.10732)	|	1.26977	(+/-0.6908)	|	1.03382		|	0.2585	(0.01445)
609	|	17.52551		|	11.63674	(+/-3.10311)	|	1.13718	(+/-0.74006)	|	1.00444		|	0.34134	(0.00106)
610	|	17.28173		|	11.70467	(+/-3.1292)	|	1.16393	(+/-0.67546)	|	0.99047		|	0.29568	(0.00491)
611	|	17.46149		|	11.68745	(+/-3.08683)	|	1.25353	(+/-0.77203)	|	1.00077		|	0.36821	(0.00038)
612	|	17.99353		|	11.69588	(+/-3.117)	|	1.26508	(+/-0.80673)	|	1.03127		|	0.39233	(0.00014)
613	|	17.88206		|	11.73031	(+/-3.13913)	|	1.19012	(+/-0.67826)	|	1.02488		|	0.37908	(0.00025)
614	|	17.59319		|	11.71182	(+/-3.13158)	|	1.23936	(+/-0.72801)	|	1.00832		|	0.43014	(3e-05)
615	|	17.62421		|	11.60079	(+/-3.05213)	|	1.26345	(+/-0.8067)	|	1.0101		|	0.33555	(0.00131)
616	|	17.76396		|	11.66367	(+/-3.10232)	|	1.18767	(+/-0.7348)	|	1.01811		|	0.43202	(2e-05)
617	|	17.65179		|	11.65598	(+/-3.05087)	|	1.31116	(+/-0.78305)	|	1.01168		|	0.30232	(0.00398)
618	|	17.74358		|	11.69461	(+/-3.042)	|	1.18363	(+/-0.70601)	|	1.01694		|	0.24826	(0.01898)
619	|	17.93943		|	11.6311	(+/-3.08473)	|	1.24532	(+/-0.76809)	|	1.02817		|	0.30398	(0.00378)
620	|	17.52174		|	11.64136	(+/-3.11073)	|	1.25037	(+/-0.7793)	|	1.00423		|	0.41031	(7e-05)
621	|	17.78333		|	11.6269	(+/-3.11153)	|	1.32374	(+/-0.8433)	|	1.01922		|	0.40869	(7e-05)
622	|	17.40848		|	11.64663	(+/-3.09403)	|	1.31051	(+/-0.80555)	|	0.99774		|	0.46083	(1e-05)
623	|	17.73223		|	11.61553	(+/-3.09116)	|	1.2435	(+/-0.79943)	|	1.01629		|	0.34168	(0.00105)
624	|	17.72835		|	11.71025	(+/-3.08723)	|	1.28226	(+/-0.78481)	|	1.01607		|	0.4619	(1e-05)
625	|	17.70436		|	11.67051	(+/-3.14343)	|	1.19806	(+/-0.75651)	|	1.01469		|	0.42697	(3e-05)
626	|	17.30305		|	11.65666	(+/-3.06944)	|	1.22549	(+/-0.75794)	|	0.99169		|	0.36153	(0.0005)
627	|	17.60111		|	11.63729	(+/-3.07366)	|	1.34283	(+/-0.81654)	|	1.00878		|	0.47579	(0.0)
628	|	17.66966		|	11.71672	(+/-3.12258)	|	1.23744	(+/-0.81358)	|	1.0127		|	0.4253	(3e-05)
629	|	17.58356		|	11.68307	(+/-3.03052)	|	1.22872	(+/-0.75008)	|	1.00777		|	0.40592	(8e-05)
630	|	17.26478		|	11.76124	(+/-3.11252)	|	1.38515	(+/-0.787)	|	0.9895		|	0.40063	(0.0001)
631	|	17.69741		|	11.62241	(+/-3.10446)	|	1.28511	(+/-0.81234)	|	1.0143		|	0.441	(2e-05)
632	|	17.35285		|	11.63768	(+/-3.09642)	|	1.27328	(+/-0.78398)	|	0.99455		|	0.3886	(0.00017)
633	|	17.617		|	11.56716	(+/-3.08198)	|	1.20592	(+/-0.75896)	|	1.00969		|	0.31315	(0.00281)
634	|	17.5967		|	11.64147	(+/-3.01526)	|	1.34216	(+/-0.77574)	|	1.00852		|	0.319	(0.00231)
635	|	18.12836		|	11.66897	(+/-3.0796)	|	1.28002	(+/-0.76744)	|	1.03899		|	0.44131	(1e-05)
636	|	18.27924		|	11.58561	(+/-2.9855)	|	1.44973	(+/-0.78253)	|	1.04764		|	0.36714	(0.0004)
637	|	17.85157		|	11.66695	(+/-3.02267)	|	1.28385	(+/-0.81462)	|	1.02313		|	0.41242	(6e-05)
638	|	18.13117		|	11.6364	(+/-3.04284)	|	1.33436	(+/-0.81449)	|	1.03916		|	0.42529	(3e-05)
639	|	17.60904		|	11.62679	(+/-3.05349)	|	1.40137	(+/-0.79576)	|	1.00923		|	0.45918	(1e-05)
640	|	17.66876		|	11.69905	(+/-3.02891)	|	1.4093	(+/-0.79401)	|	1.01265		|	0.41012	(7e-05)
641	|	17.9776		|	11.72259	(+/-3.04052)	|	1.4685	(+/-0.81865)	|	1.03035		|	0.5153	(0.0)
642	|	17.73573		|	11.56328	(+/-3.09126)	|	1.18468	(+/-0.78571)	|	1.01649		|	0.38828	(0.00017)
643	|	17.68656		|	11.67474	(+/-3.09886)	|	1.33637	(+/-0.78255)	|	1.01367		|	0.36978	(0.00036)
644	|	17.83478		|	11.58115	(+/-3.07551)	|	1.30011	(+/-0.8453)	|	1.02217		|	0.46945	(0.0)
645	|	18.1745		|	11.66081	(+/-3.10501)	|	1.5877	(+/-0.95709)	|	1.04164		|	0.4772	(0.0)
646	|	17.38987		|	11.62977	(+/-3.11584)	|	1.46206	(+/-0.77048)	|	0.99667		|	0.45356	(1e-05)
647	|	17.29053		|	11.64661	(+/-3.10643)	|	1.45326	(+/-0.79486)	|	0.99098		|	0.48903	(0.0)
648	|	17.50808		|	11.63705	(+/-3.10355)	|	1.38058	(+/-0.7752)	|	1.00344		|	0.42873	(3e-05)
649	|	17.34826		|	11.61809	(+/-3.07754)	|	1.28134	(+/-0.79858)	|	0.99428		|	0.46762	(0.0)
650	|	17.42198		|	11.57787	(+/-3.114)	|	1.41667	(+/-0.88456)	|	0.99851		|	0.50798	(0.0)
651	|	17.87929		|	11.64227	(+/-3.09347)	|	1.4277	(+/-0.74715)	|	1.02472		|	0.50726	(0.0)
652	|	17.22928		|	11.55077	(+/-3.06582)	|	1.39028	(+/-0.82494)	|	0.98747		|	0.44394	(1e-05)
653	|	17.48311		|	11.56939	(+/-3.05663)	|	1.3122	(+/-0.801)	|	1.00201		|	0.46797	(0.0)
654	|	17.8535		|	11.59702	(+/-3.09659)	|	1.48622	(+/-0.80435)	|	1.02324		|	0.46645	(0.0)
655	|	17.4846		|	11.58885	(+/-3.07975)	|	1.34862	(+/-0.83583)	|	1.0021		|	0.49313	(0.0)
656	|	17.32348		|	11.55539	(+/-3.09546)	|	1.20885	(+/-0.76987)	|	0.99286		|	0.42372	(4e-05)
657	|	17.58471		|	11.61707	(+/-3.03863)	|	1.33626	(+/-0.77353)	|	1.00784		|	0.45874	(1e-05)
658	|	17.97027		|	11.6886	(+/-3.1321)	|	1.36701	(+/-0.81479)	|	1.02993		|	0.51277	(0.0)
659	|	17.84509		|	11.64245	(+/-3.1402)	|	1.38509	(+/-0.89345)	|	1.02276		|	0.52868	(0.0)
660	|	17.83508		|	11.67231	(+/-3.14859)	|	1.27785	(+/-0.87141)	|	1.02219		|	0.45694	(1e-05)
661	|	17.83365		|	11.63378	(+/-3.11158)	|	1.36153	(+/-0.78233)	|	1.0221		|	0.52555	(0.0)
662	|	17.289		|	11.58144	(+/-3.06989)	|	1.282	(+/-0.74382)	|	0.99089		|	0.48038	(0.0)
663	|	17.90135		|	11.5789	(+/-3.0805)	|	1.43033	(+/-0.88143)	|	1.02598		|	0.48782	(0.0)
664	|	17.50183		|	11.60388	(+/-3.0863)	|	1.27158	(+/-0.77747)	|	1.00309		|	0.47903	(0.0)
665	|	17.58691		|	11.62431	(+/-3.09586)	|	1.37376	(+/-0.79948)	|	1.00796		|	0.57196	(0.0)
666	|	17.36106		|	11.57894	(+/-3.10184)	|	1.28917	(+/-0.83632)	|	0.99502		|	0.46181	(1e-05)
667	|	17.7633		|	11.58525	(+/-3.09898)	|	1.33671	(+/-0.80252)	|	1.01807		|	0.47426	(0.0)
668	|	17.75269		|	11.56655	(+/-3.0493)	|	1.30011	(+/-0.70284)	|	1.01746		|	0.34334	(0.00099)
669	|	17.835		|	11.64195	(+/-3.11361)	|	1.33977	(+/-0.77149)	|	1.02218		|	0.48874	(0.0)
670	|	17.69844		|	11.56994	(+/-3.09647)	|	1.32349	(+/-0.82133)	|	1.01435		|	0.50912	(0.0)
671	|	17.73162		|	11.68792	(+/-3.14968)	|	1.21497	(+/-0.77098)	|	1.01626		|	0.48909	(0.0)
672	|	17.83563		|	11.63675	(+/-3.12027)	|	1.37231	(+/-0.76212)	|	1.02222		|	0.48865	(0.0)
673	|	17.86734		|	11.6965	(+/-3.12219)	|	1.23966	(+/-0.75685)	|	1.02403		|	0.52188	(0.0)
674	|	18.07089		|	11.66364	(+/-3.17411)	|	1.36729	(+/-0.79001)	|	1.0357		|	0.46867	(0.0)
675	|	18.03878		|	11.63979	(+/-3.15715)	|	1.23559	(+/-0.79271)	|	1.03386		|	0.4431	(1e-05)
676	|	17.97578		|	11.68335	(+/-3.16058)	|	1.28852	(+/-0.80166)	|	1.03025		|	0.46465	(0.0)
677	|	17.78687		|	11.72337	(+/-3.11763)	|	1.36409	(+/-0.77241)	|	1.01942		|	0.3927	(0.00014)
678	|	17.45918		|	11.76862	(+/-3.11084)	|	1.34652	(+/-0.69194)	|	1.00064		|	0.45902	(1e-05)
679	|	17.46797		|	11.63044	(+/-3.14395)	|	1.34758	(+/-0.71394)	|	1.00115		|	0.49984	(0.0)
680	|	17.8595		|	11.66097	(+/-3.11456)	|	1.40378	(+/-0.78984)	|	1.02358		|	0.54463	(0.0)
681	|	17.68792		|	11.668	(+/-3.14802)	|	1.47261	(+/-0.76741)	|	1.01375		|	0.51251	(0.0)
682	|	17.68371		|	11.57676	(+/-3.07926)	|	1.3427	(+/-0.7828)	|	1.01351		|	0.43984	(2e-05)
683	|	17.73449		|	11.62008	(+/-3.13611)	|	1.34597	(+/-0.78958)	|	1.01642		|	0.49385	(0.0)
684	|	18.04387		|	11.68924	(+/-3.11911)	|	1.35414	(+/-0.83645)	|	1.03415		|	0.48338	(0.0)
685	|	17.74596		|	11.6139	(+/-3.15754)	|	1.34972	(+/-0.78113)	|	1.01708		|	0.54065	(0.0)
686	|	17.86414		|	11.64836	(+/-3.05862)	|	1.41944	(+/-0.77947)	|	1.02385		|	0.4951	(0.0)
687	|	17.85358		|	11.70156	(+/-3.10127)	|	1.26089	(+/-0.76906)	|	1.02325		|	0.44818	(1e-05)
688	|	17.91891		|	11.63422	(+/-3.1291)	|	1.38665	(+/-0.79151)	|	1.02699		|	0.5245	(0.0)
689	|	18.50949		|	11.7628	(+/-3.08941)	|	1.34035	(+/-0.77126)	|	1.06084		|	0.41095	(6e-05)
690	|	17.52888		|	11.66324	(+/-3.14273)	|	1.26578	(+/-0.65458)	|	1.00464		|	0.51309	(0.0)
691	|	17.52049		|	11.65096	(+/-3.10849)	|	1.25771	(+/-0.74216)	|	1.00416		|	0.48674	(0.0)
692	|	17.83849		|	11.61362	(+/-3.06343)	|	1.23096	(+/-0.74159)	|	1.02238		|	0.43278	(2e-05)
693	|	17.48556		|	11.66765	(+/-3.06832)	|	1.25646	(+/-0.79046)	|	1.00215		|	0.4765	(0.0)
694	|	18.16379		|	11.73831	(+/-3.09909)	|	1.32943	(+/-0.7561)	|	1.04102		|	0.40879	(7e-05)
695	|	17.64022		|	11.56943	(+/-3.09538)	|	1.19784	(+/-0.72131)	|	1.01102		|	0.46338	(0.0)
696	|	18.25228		|	11.70713	(+/-3.14223)	|	1.35989	(+/-0.83688)	|	1.0461		|	0.46842	(0.0)
697	|	17.4161		|	11.65028	(+/-3.12392)	|	1.19971	(+/-0.78441)	|	0.99817		|	0.44003	(2e-05)
698	|	17.78648		|	11.62479	(+/-3.13669)	|	1.24829	(+/-0.72203)	|	1.0194		|	0.57826	(0.0)
699	|	18.07113		|	11.59961	(+/-3.14525)	|	1.33058	(+/-0.79144)	|	1.03571		|	0.49031	(0.0)
700	|	17.71561		|	11.61456	(+/-3.1029)	|	1.36703	(+/-0.80048)	|	1.01534		|	0.48527	(0.0)
701	|	17.55906		|	11.67633	(+/-3.17702)	|	1.35747	(+/-0.82913)	|	1.00637		|	0.49069	(0.0)
702	|	17.93885		|	11.67871	(+/-3.14886)	|	1.35999	(+/-0.81712)	|	1.02813		|	0.52321	(0.0)
703	|	17.61949		|	11.65003	(+/-3.13537)	|	1.36822	(+/-0.81688)	|	1.00983		|	0.5449	(0.0)
704	|	17.6165		|	11.71421	(+/-3.11307)	|	1.31783	(+/-0.80016)	|	1.00966		|	0.42721	(3e-05)
705	|	17.9376		|	11.61447	(+/-3.11037)	|	1.31534	(+/-0.7507)	|	1.02806		|	0.52675	(0.0)
706	|	17.6811		|	11.71558	(+/-3.13333)	|	1.40968	(+/-0.80939)	|	1.01336		|	0.51076	(0.0)
707	|	17.68279		|	11.6465	(+/-3.08571)	|	1.39649	(+/-0.75197)	|	1.01346		|	0.46703	(0.0)
708	|	17.87509		|	11.626	(+/-3.09579)	|	1.29994	(+/-0.73282)	|	1.02448		|	0.41515	(5e-05)
709	|	17.746		|	11.69222	(+/-3.04357)	|	1.26462	(+/-0.75241)	|	1.01708		|	0.329	(0.00164)
710	|	17.49861		|	11.6482	(+/-3.16441)	|	1.31431	(+/-0.80584)	|	1.0029		|	0.45445	(1e-05)
711	|	17.85713		|	11.52764	(+/-3.0858)	|	1.35781	(+/-0.79325)	|	1.02345		|	0.39558	(0.00012)
712	|	17.72048		|	11.58573	(+/-3.05561)	|	1.3677	(+/-0.73986)	|	1.01562		|	0.45646	(1e-05)
713	|	17.61591		|	11.65689	(+/-3.10245)	|	1.44089	(+/-0.81111)	|	1.00962		|	0.4489	(1e-05)
714	|	17.84878		|	11.61592	(+/-3.13421)	|	1.48362	(+/-0.8781)	|	1.02297		|	0.43948	(2e-05)
715	|	17.76597		|	11.65013	(+/-3.10887)	|	1.41901	(+/-0.81849)	|	1.01822		|	0.5281	(0.0)
716	|	17.35098		|	11.64489	(+/-3.07955)	|	1.40589	(+/-0.76568)	|	0.99444		|	0.38693	(0.00018)
717	|	17.37881		|	11.61742	(+/-3.04773)	|	1.41318	(+/-0.79585)	|	0.99603		|	0.43764	(2e-05)
718	|	17.83333		|	11.65401	(+/-3.10754)	|	1.48301	(+/-0.8142)	|	1.02208		|	0.47731	(0.0)
719	|	17.99082		|	11.60278	(+/-3.11506)	|	1.47892	(+/-0.79644)	|	1.03111		|	0.50078	(0.0)
