Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	16.75127		|			0
43	|	17.21106		|	11.56873	(+/-2.7836)	|	0.93381	(+/-0.62819)	|	1.02745		|	0.50328	(0.0)
44	|	17.03468		|	11.5838	(+/-2.71556)	|	0.97762	(+/-0.60613)	|	1.01692		|	0.41792	(5e-05)
45	|	16.81315		|	11.55987	(+/-2.75552)	|	1.03797	(+/-0.65025)	|	1.00369		|	0.483	(0.0)
46	|	17.00202		|	11.66202	(+/-2.80724)	|	1.14636	(+/-0.53169)	|	1.01497		|	0.38504	(0.00019)
47	|	17.27114		|	11.59045	(+/-2.73217)	|	0.95397	(+/-0.52849)	|	1.03103		|	0.25693	(0.01508)
48	|	16.97211		|	11.53506	(+/-2.70731)	|	0.80694	(+/-0.45642)	|	1.01318		|	0.45718	(1e-05)
49	|	16.51407		|	11.52252	(+/-2.73681)	|	0.91188	(+/-0.57515)	|	0.98584		|	0.4514	(1e-05)
50	|	16.98964		|	11.6027	(+/-2.79994)	|	0.97887	(+/-0.63343)	|	1.01423		|	0.46435	(0.0)
51	|	17.09917		|	11.5981	(+/-2.79676)	|	0.99777	(+/-0.52924)	|	1.02077		|	0.48546	(0.0)
52	|	17.0767		|	11.54326	(+/-2.8466)	|	0.97461	(+/-0.50624)	|	1.01943		|	0.44516	(1e-05)
53	|	16.82293		|	11.60504	(+/-2.68938)	|	0.95448	(+/-0.5759)	|	1.00428		|	0.4779	(0.0)
54	|	17.18994		|	11.63729	(+/-2.84273)	|	1.1024	(+/-0.667)	|	1.02619		|	0.41497	(5e-05)
55	|	17.02541		|	11.60926	(+/-2.79241)	|	1.01616	(+/-0.58278)	|	1.01637		|	0.49725	(0.0)
56	|	16.76241		|	11.62009	(+/-2.71607)	|	1.12143	(+/-0.61533)	|	1.00067		|	0.40229	(9e-05)
57	|	17.74308		|	11.59463	(+/-2.82741)	|	1.00305	(+/-0.59551)	|	1.05921		|	0.53866	(0.0)
58	|	16.98675		|	11.6483	(+/-2.7364)	|	0.96756	(+/-0.57146)	|	1.01406		|	0.54111	(0.0)
59	|	16.82105		|	11.65538	(+/-2.73044)	|	1.00307	(+/-0.62422)	|	1.00417		|	0.53799	(0.0)
60	|	17.07602		|	11.62157	(+/-2.7871)	|	1.10224	(+/-0.70164)	|	1.01939		|	0.61711	(0.0)
61	|	17.02528		|	11.56268	(+/-2.85284)	|	0.96444	(+/-0.57267)	|	1.01636		|	0.59885	(0.0)
62	|	16.61398		|	11.54542	(+/-2.81192)	|	1.06336	(+/-0.64724)	|	0.9918		|	0.52903	(0.0)
63	|	17.00857		|	11.66754	(+/-2.81689)	|	1.08286	(+/-0.64312)	|	1.01536		|	0.4656	(0.0)
64	|	16.94861		|	11.58684	(+/-2.80672)	|	1.12657	(+/-0.73865)	|	1.01178		|	0.53387	(0.0)
65	|	16.79287		|	11.56057	(+/-2.74295)	|	0.99122	(+/-0.63794)	|	1.00248		|	0.45873	(1e-05)
66	|	16.82258		|	11.65025	(+/-2.85849)	|	1.12003	(+/-0.60456)	|	1.00426		|	0.5986	(0.0)
67	|	17.21134		|	11.74135	(+/-2.76743)	|	1.13014	(+/-0.68278)	|	1.02746		|	0.56713	(0.0)
68	|	17.16094		|	11.65167	(+/-2.79649)	|	0.9824	(+/-0.56526)	|	1.02446		|	0.59363	(0.0)
69	|	17.01649		|	11.72907	(+/-2.74569)	|	1.03646	(+/-0.64031)	|	1.01583		|	0.42679	(3e-05)
70	|	17.17141		|	11.60692	(+/-2.76919)	|	0.99743	(+/-0.69661)	|	1.02508		|	0.44681	(1e-05)
71	|	16.99017		|	11.53108	(+/-2.79878)	|	0.96447	(+/-0.70047)	|	1.01426		|	0.48021	(0.0)
72	|	16.85264		|	11.55954	(+/-2.74429)	|	1.0407	(+/-0.73403)	|	1.00605		|	0.49918	(0.0)
73	|	17.43226		|	11.61526	(+/-2.80531)	|	1.09841	(+/-0.74975)	|	1.04065		|	0.52885	(0.0)
74	|	16.86626		|	11.5547	(+/-2.78726)	|	1.01963	(+/-0.71804)	|	1.00686		|	0.4806	(0.0)
75	|	17.39262		|	11.60599	(+/-2.8217)	|	0.98274	(+/-0.60686)	|	1.03829		|	0.52444	(0.0)
76	|	17.34842		|	11.56741	(+/-2.79463)	|	1.00594	(+/-0.61703)	|	1.03565		|	0.55391	(0.0)
77	|	16.93537		|	11.58346	(+/-2.80971)	|	1.03355	(+/-0.71028)	|	1.01099		|	0.51992	(0.0)
78	|	17.34447		|	11.69887	(+/-2.78243)	|	1.10001	(+/-0.73936)	|	1.03541		|	0.52714	(0.0)
79	|	17.05963		|	11.61145	(+/-2.68133)	|	1.0092	(+/-0.71449)	|	1.01841		|	0.53244	(0.0)
